place_id,name,il,district,address,website,rating,review_count,detected,server_header,x_powered_by,status_code,error,first_seen,last_seen,is_new
ChIJyavG6jJuh0AR3UafiTdz6Oc,Amasya Sabuncuoğlu Şerefeddin Eğitim ve Araştırma Hastanesi,Amasya,Amasya District,"Kirazlıdere, 05200 Amasya District/Amasya, Türkiye",http://amasyaeah.saglik.gov.tr/,2.8,256,ASP.NET,,,200,,2026-07-03,2026-07-03,False
ChIJgZlah-Vvh0ARFxnDlIH0IVc,AMASYA ORTODONTİ KLİNİĞİ - DR. TÜRKAN NADİRE YEŞİL,Amasya,Amasya Merkez,"KUBA motor üstü, Kirazlıdere, Mehmet Varinli Cd. Emek Apt No:66 kat:2 daire:2, 05000 Amasya Merkez/Amasya, Türkiye",https://amasyaortodontist.com/,4.3,21,ASP.NET,Microsoft-IIS/10.0,ASP.NET,200,,2026-07-03,2026-07-03,False
ChIJ_zGdIFNuh0ARrcYWsVak3KY,Amasya Agiz ve Dis Sagligi Merkezi,Amasya,Amasya Merkez,"Fethiye Merkez, Çelebi Mehmet Cd. 10/3, 05100 Amasya Merkez/Amasya, Türkiye",https://amasyaadsm.saglik.gov.tr/,3.1,52,ASP.NET,,,200,,2026-07-03,2026-07-03,False
ChIJF3FwPVNuh0ARE4tGxO5n7PM,Amasya Ağiz Ve Diş Sağliği Merkezi,Amasya,Amasya Merkez,"Gökmedrese, İbni Sina Cd. NO:1, 05100 Amasya Merkez/Amasya, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-03,False
ChIJH0Pw0Khvh0AR51gL5OocPW8,Amasya Diş Hekimi,Amasya,Amasya Merkez,"Kocacık Çarşısı, İğneci Baba Sk. Yanı No:13 Kat:2, 05100 Amasya Merkez/Amasya, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-03,False
ChIJjeA-VdJvh0ARaL0tMiC4IMA,Amasya Ortodonti Diş Kliniği Ortodonti Uzmanı Ufuk Keleşoğlu,Amasya,Amasya Merkez,"Müze Karşısı, Üçler, MKP Caddesi no:102-1, 05100 Amasya Merkez/Amasya, Türkiye",,5,6,Website yok,,,,,2026-07-03,2026-07-03,False
ChIJ9d5wiVFuh0ARvVKipDyrmKw,Avva Diş Ticaret Mermer Sanayi Ticaret Limited Şirketi,Amasya,Amasya Merkez,"Hacı İlyas, Halim Hafız Sk. NO:9, 05100 Amasya Merkez/Amasya, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-03,False
ChIJZ5DsdDZvh0AR7Tk1ojse27E,Dentamasya Diş Kliniği,Amasya,Amasya Merkez,"Hacı İlyas, Mustafa Kemal Paşa Cd. No:120 D:1, 05100 Amasya Merkez/Amasya, Türkiye",http://www.dentamasya.com/,,,"Laravel, React, Wix",Pepyaka,,200,,2026-07-03,2026-07-03,False
ChIJ-6QviVdvh0AR3n6_2CJFeck,Dentapark05,Amasya,Amasya Merkez,"Hacılar Meydanı, Çinili Sk. No:1, 05000 Amasya Merkez/Amasya, Türkiye",https://www.instagram.com/?hl=tr,4.9,70,Bilinmiyor / özel kod,,,200,,2026-07-03,2026-07-03,False
ChIJB-Jt60Jvh0ARxgQJwgXM8io,Diş Hekimi Ender Özsoy,Amasya,Amasya Merkez,"M, Ellibeşevler, Celal Topala Sk. No:4, 05100 Amasya Merkez/Amasya, Türkiye",,4.4,13,Website yok,,,,,2026-07-03,2026-07-03,False
ChIJb0zD0vVvh0ARlYcRApxy6B8,Diş Hekimi Mustafa BOL,Amasya,Amasya Merkez,"Hacılar Meydanı, Hoca Ahmet Yesevi Cd. no:15/a, 05100 Amasya Merkez/Amasya, Türkiye",,5,14,Website yok,,,,,2026-07-03,2026-07-03,False
ChIJAfI8IuJvh0ARa462hlpKvzw,Diş Hekimi Savaş Albayrak,Amasya,Amasya Merkez,"Gümüşlü, Atatürk Cd. No:5/3, 05100 Amasya Merkez/Amasya, Türkiye",,5,13,Website yok,,,,,2026-07-03,2026-07-03,False
ChIJmfmTFk1uh0ARxQpNlpmFoW8,Diş Hekimi Şenay Başaran,Amasya,Amasya Merkez,"Dere, Çelebi Mehmet Cd. no:1 kat 2, 05100 Amasya Merkez/Amasya, Türkiye",,4.7,18,Website yok,,,,,2026-07-03,2026-07-03,False
